date,price
2021-03-01,246300
2021-02-01,238400
2021-01-01,252000
2020-12-01,255000
2020-11-01,277300
2020-10-01,288200
2020-09-01,230300
2020-08-01,216800
2020-07-01,189100
2020-06-01,170400
2020-05-01,155800
2020-04-01,148500
2020-03-01,155400
2020-02-01,133400
2020-01-01,129300
2019-12-01,124400
2019-11-01,112300
2019-10-01,113800
2019-09-01,113400
2019-08-01,118900
2019-07-01,127600
2019-06-01,132500
2019-05-01,147000
2019-04-01,131900
2019-03-01,129800
2019-02-01,118500
2019-01-01,104600
2018-12-01,113800
2018-11-01,127400
2018-10-01,136300
2018-09-01,119700
2018-08-01,105400
2018-07-01,83340
2018-06-01,64170
2018-05-01,59010
2018-04-01,50560
2018-03-01,44500
2018-02-01,46520
2018-01-01,42920
2017-12-01,41500
2017-11-01,40350
2017-10-01,39000
2017-09-01,38680
2017-08-01,38060
2017-07-01,37760
2017-06-01,37320
2017-05-01,37610
2017-04-01,37480
2017-03-01,37800
2017-02-01,38220
2017-01-01,38750
2016-12-01,38800
2016-11-01,36260
2016-10-01,35800
2016-09-01,35480
2016-08-01,34820
2016-07-01,34850
2016-06-01,34600
2016-05-01,34470
2016-04-01,34720
2016-03-01,34550
2016-02-01,33970
2016-01-01,33980
2015-12-01,34010
2015-11-01,33960
2015-10-01,33980
2015-09-01,33980
2015-08-01,33150
2015-07-01,32840
2015-06-01,33110
2015-05-01,33260
2015-04-01,33270
2015-03-01,34250
2015-02-01,34550
2015-01-01,34980